epoch,total_loss,task_loss_f,reg_loss_rho,stab_loss_p,raw_violation_phi
1,0.25091731548309326,0.25091731548309326,0.0,0.0,1.331305343743594e-10
2,0.2218928337097168,0.2218928337097168,0.0,0.0,5.948527781463042e-11
3,0.1948322206735611,0.1948322206735611,0.0,0.0,3.793184169542663e-11
4,0.16971448063850403,0.16971448063850403,0.0,0.0,2.958333578106931e-11
5,0.14662981033325195,0.14662981033325195,0.0,0.0,2.6128581936957218e-11
6,0.12550753355026245,0.12550753355026245,0.0,0.0,2.53506104996859e-11
7,0.1061122715473175,0.1061122715473175,0.0,0.0,2.7010726988407896e-11
8,0.08834372460842133,0.08834372460842133,0.0,0.0,3.2191537630010814e-11
9,0.07219462096691132,0.07219462096691132,0.0,0.0,4.4629813733543244e-11
10,0.05782739073038101,0.05782739073038101,0.0,0.0,7.705065058205562e-11
11,0.0454181507229805,0.0454181507229805,0.0,0.0,1.8543987179153731e-10
12,0.035081539303064346,0.035081539303064346,0.0,0.0,6.776013083964472e-10
13,0.026913845911622047,0.026913845911622047,0.0,0.0,3.623282562870145e-09
14,0.020845940336585045,0.020845940336585045,1.9985234170696864e-15,0.0,2.5396174052616516e-08
15,0.016863327473402023,0.016863327473402023,4.996008354197709e-14,0.0,2.036270387861805e-07
16,0.014800378121435642,0.014800378121435642,3.870939159489328e-12,0.0,1.634683371776191e-06
17,0.01435861550271511,0.01435861550271511,1.8262978629390858e-10,0.0,1.1159635505464394e-05
18,0.015052855014801025,0.015052814036607742,4.09634886011645e-08,0.0,5.422783215180971e-05
19,0.0163433700799942,0.016343068331480026,3.01460204354953e-07,0.0,0.00016894334112294018
20,0.01773274689912796,0.01773180067539215,9.453265192860272e-07,0.0,0.00034363596932962537
21,0.01883419044315815,0.018832571804523468,1.6184505966521101e-06,0.0,0.0004900699132122099
22,0.019386671483516693,0.019384896382689476,1.7737653479343862e-06,0.0,0.0005215171840973198
23,0.01928868144750595,0.019287317991256714,1.3636952189699514e-06,0.0,0.0004373012634459883
24,0.018536444753408432,0.018535714596509933,7.299822755157948e-07,0.0,0.0002919711114373058
25,0.017216000705957413,0.01721574366092682,2.583624052476807e-07,0.0,0.0001549635489936918
26,0.015487379394471645,0.015487323515117168,5.7450300516848074e-08,0.0,6.593288708245382e-05
27,0.013554129749536514,0.01355412881821394,7.402978785542302e-10,0.0,2.3228867576108314e-05
28,0.011590899899601936,0.011590899899601936,7.441975508060139e-11,0.0,7.27504129827139e-06
29,0.009842222556471825,0.009842222556471825,8.110460220089877e-12,0.0,2.4382552510360256e-06
30,0.0083322087302804,0.0083322087302804,8.853129275683547e-13,0.0,8.379391260859848e-07
31,0.007121305447071791,0.007121305447071791,9.793923484713307e-14,0.0,3.0249935889514745e-07
32,0.00623273616656661,0.00623273616656661,1.7993419254569432e-14,0.0,1.2686363959346636e-07
33,0.005608089733868837,0.005608089733868837,2.0003530082357557e-15,0.0,5.767144273249869e-08
34,0.005212671123445034,0.005212671123445034,2.0003530082357557e-15,0.0,2.8865782653042515e-08
35,0.004997423384338617,0.004997423384338617,0.0,0.0,1.594154852568863e-08
36,0.004906433634459972,0.004906433634459972,0.0,0.0,9.716454307806544e-09
37,0.004890689626336098,0.004890689626336098,0.0,0.0,6.51069642643165e-09
38,0.004906939808279276,0.004906939808279276,0.0,0.0,4.740188686014335e-09
39,0.00492218229919672,0.00492218229919672,0.0,0.0,3.71603192661496e-09
40,0.004912132862955332,0.004912132862955332,0.0,0.0,3.1008928758069487e-09
41,0.004861552268266678,0.004861552268266678,0.0,0.0,2.7314883688234204e-09
42,0.00476495735347271,0.00476495735347271,0.0,0.0,2.5317299368055046e-09
43,0.004620928782969713,0.004620928782969713,0.0,0.0,2.446354008256435e-09
44,0.00443319883197546,0.00443319883197546,0.0,0.0,2.442080315745443e-09
45,0.004211295396089554,0.004211295396089554,0.0,0.0,2.507062557555173e-09
46,0.003966744989156723,0.003966744989156723,0.0,0.0,2.6352573456733808e-09
47,0.0037132003344595432,0.0037132003344595432,0.0,0.0,2.8240660920886285e-09
48,0.0034634722396731377,0.0034634722396731377,0.0,0.0,3.073151955135245e-09
49,0.003229973604902625,0.003229973604902625,0.0,0.0,3.3816660582886016e-09
50,0.003022104501724243,0.003022104501724243,0.0,0.0,3.749671684261102e-09
